変更種別が「Add」、「header」、「Protcols」は除外しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deprecation変動に関してiOSが5未満のものは除外しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
変更種別：Added、Modified(Declaration、Deprecation、Header、Protcols),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フレームワーク,変更種別,Deprecation OS,メソッド、定義,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,"Header	Declaration",,+[NSObject,allocWithZone:],,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,"Header	Declaration",,+[NSObject,copyWithZone:],,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,"Header	Declaration",,+[NSObject,mutableCopyWithZone:],,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,"Header	Declaration",,-[NSObject,zone],,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,Declaration,,objc_enumerationMutation(),,,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,Declaration,,objc_getClass(),,,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,Declaration,,objc_getMetaClass(),,,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,Declaration,,objc_getRequiredClass(),,,,,,,,,,,,,,,,,,,,,,,,,,,
General Headers,Declaration,,objc_lookUpClass(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_ARGB8888ToRGB888(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_ARGBFFFFToRGBFFF(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_BGRA8888ToRGB888(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_BGRAFFFFToRGBFFF(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_RGBA8888ToRGB888(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Declaration,,vImageFlatten_RGBAFFFFToRGBFFF(),,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate,Deprecation,7,ATLU_DestroyThreadMemory(),,,,,,,,,,,,,,,,,,,,,,,,,,,
